# Hetzner Cloud Pricing for OpenCost CSV Provider
# Generated: 2026-02-26T11:39:02.783509
# Source: Hetzner Cloud API (https://api.hetzner.cloud/v1/pricing)
# Prices in EUR per hour (net, excluding VAT)
#
EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
,cpx22,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx22,0.019200,2026.02
,cpx32,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx32,0.016800,2026.02
,cpx32,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx32,0.016800,2026.02
,cpx32,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx32,0.016800,2026.02
,cpx32,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx32,0.040000,2026.02
,cpx42,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx42,0.031200,2026.02
,cpx42,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx42,0.031200,2026.02
,cpx42,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx42,0.031200,2026.02
,cpx42,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx42,0.068900,2026.02
,cpx52,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx52,0.044900,2026.02
,cpx52,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx52,0.044900,2026.02
,cpx52,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx52,0.044900,2026.02
,cpx52,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx52,0.096100,2026.02
,cpx62,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx62,0.061700,2026.02
,cpx62,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx62,0.061700,2026.02
,cpx62,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx62,0.061700,2026.02
,cpx62,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx62,0.123400,2026.02
,cx23,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cx23,0.004800,2026.02
,cx23,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cx23,0.004800,2026.02
,cx23,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cx23,0.004800,2026.02
,cx33,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cx33,0.008000,2026.02
,cx33,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cx33,0.008000,2026.02
,cx33,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cx33,0.008000,2026.02
